t,agent_id,x,y,z,yaw,speed
0.0,1,-2.0,0.0,0.0,2.5950698295982463e-6,1.0114045946052863
0.1,1,-1.8988595405398119,2.624665548974278e-7,0.0,5.7015915210988404e-5,1.01176723966733
0.2,1,-1.7976828167375323,6.031150066784769e-6,0.0,0.0005321287148435271,1.0229109219496642
0.30000000000000004,1,-1.695391739024988,6.046317492759542e-5,0.0,7.651418612558563e-5,1.0182033895533285
0.4,1,-1.5935714003677046,6.82538752861923e-5,0.0,1.9678744837685148e-5,1.0118444480882476
0.5,1,-1.492386955578472,7.024505815699948e-5,0.0,3.090053024275038e-5,1.0174792463805424
0.6000000000000001,1,-1.3906390309889942,7.338912297891442e-5,0.0,-1.8830149040083813e-5,1.0083288360409708
0.7000000000000001,1,-1.2898061474027736,7.149042475262005e-5,0.0,-2.1146843983771366e-5,1.008761851003913
0.8,1,-1.1889299623249376,6.935721180478303e-5,0.0,-1.8743831567435828e-5,1.0099727222110493
0.9,1,-1.0879326901215745,6.746413594561103e-5,0.0,-1.9926913928783207e-5,1.0086127281253938
1.0,1,-0.9870714173290601,6.545428204366105e-5,0.0,-6.361264565701304e-5,1.0148893735208033
1.1,1,-0.8855824801823208,5.899830223813046e-5,0.0,-0.00014386304147179845,1.0157274522043327
1.2000000000000002,1,-0.7840097360129914,4.438573823048385e-5,0.0,-0.0002754407420138697,1.018444836431328
1.3,1,-0.682165256233207,1.6333618440507783e-5,0.0,-0.0003354643190939041,1.019310821071518
1.4000000000000001,1,-0.580234179861529,-1.7860621971723787e-5,0.0,-0.00014909905179182406,1.0154653367365316
1.5,1,-0.47868764731659236,-3.3001113799115155e-5,0.0,-0.00011751758033586542,1.013015855671456
1.6,1,-0.37738606244895356,-4.4905830991751286e-5,0.0,-0.0005946818049602956,1.0168395422350778
1.7000000000000002,1,-0.2757021262055299,-0.00010537542486074396,0.0,-0.0001671807376259893,1.0120647915213437
1.8,1,-0.17449564846772567,-0.00012229519861911084,0.0,0.000983127651314802,1.011653120395622
1.9000000000000001,1,-0.0733303853183188,-2.2836799020882034e-5,0.0,0.006473841422121994,1.0168825846987615
2.0,1,0.028355742249879773,0.0006354722624252435,0.0,0.001242010877701949,1.005899210398941
2.1,1,0.12894558570522938,0.0007604060064236878,0.0,0.012128542534773815,1.0121484028980563
2.2,1,0.23015298165664974,0.001987964405556443,0.0,0.004352889662237051,1.0060295855318473
2.3000000000000003,1,0.33075498711659546,0.0024258766009289546,0.0,0.004907052992752636,1.0101944842523114
2.4000000000000004,1,0.4317732193120779,0.002921582398280666,0.0,-0.025254249219804244,1.0079849548527264
2.5,1,0.5325395730194274,0.0003762626502232451,0.0,-0.015767564406236303,1.008858197478668
2.6,1,0.6334128521082298,-0.0012143950978977956,0.0,-0.021160497229380085,1.0075786843702565
2.7,1,0.7341481633807172,-0.003346322584483684,0.0,-0.004566697425852529,1.0042786288640042
2.8000000000000003,1,0.834574979071187,-0.0038049446533341184,0.0,0.002854520877635658,1.0024323436566518
2.9000000000000004,1,0.9348178050316855,-0.0035187986365960667,0.0,0.00031288729129153644,1.00223018427109
3.0,1,1.0350408185529552,-0.003487440128347005,0.0,0.0026964913227485055,0.9857294377359709
3.1,1,1.1336134039616064,-0.0032216393629131246,0.0,0.005084957242905811,0.6058781835465251
3.2,1,1.1942004390146939,-0.0029135542248249057,0.0,0.003615619471187687,0.9518548513306324
3.3000000000000003,1,1.2893853019825912,-0.002569400481241179,0.0,0.0036157341798355534,0.9492906571490531
3.4000000000000004,1,1.3843137471690046,-0.002226162961564959,0.0,0.0036157264272208395,0.9462100901838825
3.5,1,1.4789341376752458,-0.0018840400241441012,0.0,0.0036157264926620367,0.9425900438616028
3.6,1,1.5731925259155641,-0.0015432259874183863,0.0,0.00361572547533078,0.9383943809320199
3.7,1,1.6670313506058616,-0.0012039290798132286,0.0,0.003615723706668033,0.9335805765714971
3.8000000000000003,1,1.760388798007357,-0.0008663728730393908,0.0,0.003615723745020505,0.9280996881030419
3.9000000000000004,1,1.853198160144698,-0.0005307983962249594,0.0,0.003615697287497395,0.3904906050973049
4.0,1,1.892246965405312,-0.00038960912169525204,0.0,0.003615699365994375,0.3500094630399652
